"시설년도","위치코드","시설구분1","시설구분2","쉼터명칭","도로명주소","지번주소","시설면적","이용가능인원","비고","경도","위도","X좌표(EPSG:5186)","Y좌표(EPSG:5186)"
"2026","1153079000","특정계층이용시설","회원이용시설","우신빌라경로당","서울특별시 구로구 오리로 1265 (궁동, 우신빌라)","서울특별시 구로구 궁동 213-27","116.00","35","","126.8305708","37.4943014","185017.00354636","543885.13728472"
"2026","1153079000","공공시설","복지?문화?체육시설","궁동종합사회복지관","서울특별시 구로구 오리로22길 5 (궁동)","서울특별시 구로구 궁동 108-9","2,000.00","500","","126.8298143","37.4991676","184951.08105300","544425.34340984"
"2026","1153079000","특정계층이용시설","회원이용시설","아랫말경로당","서울특별시 구로구 부일로11길 4-3 (궁동)","서울특별시 구로구 궁동 207-13","86.68","34","","126.8321988","37.4936454","185160.84148304","543812.07189325"
"2026","1153079000","특정계층이용시설","회원이용시설","온수경로당","서울특별시 구로구 부일로1길 62 (온수동)","서울특별시 구로구 온수동 120-21","197.00","59","","126.8191241","37.4932684","184004.52555894","543772.37119699"
"2026","1153079000","특정계층이용시설","회원이용시설","수궁분회경로당","서울특별시 구로구 부일로9길 111 (온수동)","서울특별시 구로구 온수동 155-5","52.00","15","","126.8232329","37.4967476","184368.60625375","544157.82719178"
"2026","1153079000","공공시설","공공청사","수궁동주민센터","서울특별시 구로구 오리로15길 32","서울특별시 구로구 궁동 213-42","769.00","233","","126.8314537","37.4938646","185094.99358816","543836.51797348"
"2026","1153079000","생활밀착민간시설","금융기관","새마을금고수궁지점","서울특별시 구로구 부일로15길 10 (궁동)","서울특별시 구로구 궁동 189-29","45.00","13","","126.8342319","37.4937135","185340.64799699","543819.31154985"
"2026","1153079000","특정계층이용시설","회원이용시설","궁동경로당","서울특별시 구로구 부일로17길 158-4 (궁동)","서울특별시 구로구 궁동 157","169.00","51","","126.8302765","37.4985843","184991.83505356","544360.53080825"
"2026","1153079000","공공시설","복지?문화?체육시설","온수어르신복지관","서울특별시 구로구 부일로9길 111 (온수동)","서울특별시 구로구 온수동 155-5","2,519.00","500","","126.8233421","37.4966864","184378.24999482","544151.01665120"
"2026","1153080000","특정계층이용시설","회원이용시설","우남퍼스트빌(아)경로당","서울특별시 구로구 항동로 8 (우남퍼스트빌더센트럴)","서울특별시 구로구 항동 244","","","","126.8206770","37.4771500","184138.44664223","541983.17719492"
"2026","1153080000","특정계층이용시설","회원이용시설","항서경로당","서울특별시 구로구 연동로 169 (매화빌라3동)","서울특별시 구로구 항동 232","52.00","15","","126.8228970","37.4765480","184334.68552211","541915.99155461"
"2026","1153080000","공공시설","복지?문화?체육시설","항동푸른도서관","서울특별시 구로구 연동로 290-46 (푸른도서관)","서울특별시 구로구 항동 산 18-2","","","","126.8245650","37.4849830","184483.96971158","542851.88913233"
"2026","1153080000","특정계층이용시설","회원이용시설","그린빌라경로당","서울특별시 구로구 연동로 287 (그린빌라 B37~B40)","서울특별시 구로구 항동 1-5","","","","126.8223260","37.4859520","184286.14820939","542959.80678408"
"2026","1153080000","특정계층이용시설","회원이용시설","항동8단지(아)경로당","서울특별시 구로구 서해안로 2036 (항동 하버라인 8단지 801동)","서울특별시 구로구 항동 245","","","","126.8178950","37.4746450","183891.83415732","541705.62767269"
"2026","1153080000","특정계층이용시설","회원이용시설","중흥s클래스(아)경로당","서울특별시 구로구 연동로 233 (항동중흥에스클래스베르데카운티 101동)","서울특별시 구로구 항동 117-1","","","","126.8226370","37.4811670","184312.65329367","542428.68276598"
"2026","1153080000","특정계층이용시설","회원이용시설","하버라인3단지(아)경로당","서울특별시 구로구 항동로 43 (하버라인 3단지 301동)","서울특별시 구로구 항동 242","","","","126.8240640","37.4791660","184438.45328726","542206.36138861"
"2026","1153080000","특정계층이용시설","회원이용시설","수목원현대홈타운(아)경로당","서울특별시 구로구 연동로13길 25 (서울수목원현대홈타운스위트 101동)","서울특별시 구로구 항동 233","","","","126.8204690","37.4843260","184121.56707222","542779.65364820"
"2026","1153080000","특정계층이용시설","회원이용시설","하버라인2단지(아)경로당","서울특별시 구로구 연동로 234 (하버라인 2단지 201동)","서울특별시 구로구 항동 237","","","","126.8224110","37.4819930","184292.83700670","542520.39556406"
"2026","1154567000","공공시설","공공청사","금천구청(1층)","서울특별시 금천구 시흥대로73길 70","서울특별시 금천구 시흥동 1020","154.00","40","","126.8954220","37.4570390","190747.34716569","539741.16220743"
"2026","1154567000","특정계층이용시설","회원이용시설","새재미경로당","서울특별시 금천구 독산로39길 16","서울특별시 금천구 시흥동 855","188.00","50","","126.9042611","37.4588453","191529.60012873","539940.80531209"
